,id,text,entities,intent
0,1,Switch on the front light,"[{""start"": 14, ""end"": 19, ""text"": ""front"", ""labels"": [""light_name""]}]",switch-on
1,2,Switch on the main light,"[{""start"": 14, ""end"": 18, ""text"": ""main"", ""labels"": [""light_name""]}]",switch-on
2,3,turn on all the lights,"[{""start"": 8, ""end"": 11, ""text"": ""all"", ""labels"": [""light_name""]}]",switch-on
3,4,"please, turn off the back light","[{""start"": 21, ""end"": 25, ""text"": ""back"", ""labels"": [""light_name""]}]",switch-off
5,6,put all the lights off,"[{""start"": 4, ""end"": 7, ""text"": ""all"", ""labels"": [""light_name""]}]",switch-off
6,7,turn the middle light on,"[{""start"": 9, ""end"": 15, ""text"": ""middle"", ""labels"": [""light_name""]}]",switch-on
7,8,make the front light off,"[{""start"": 9, ""end"": 14, ""text"": ""front"", ""labels"": [""light_name""]}]",switch-off
8,9,Switch off the main lights,"[{""start"": 15, ""end"": 19, ""text"": ""main"", ""labels"": [""light_name""]}]",switch-off
17,18,get the middle light off,"[{""start"": 8, ""end"": 14, ""text"": ""middle"", ""labels"": [""light_name""]}]",switch-off
18,19,turn off the back and front lights,"[{""start"": 13, ""end"": 17, ""text"": ""back"", ""labels"": [""light_name""]}, {""start"": 22, ""end"": 27, ""text"": ""front"", ""labels"": [""light_name""]}]",switch-off
19,20,switch on the middle and main lights,"[{""start"": 14, ""end"": 20, ""text"": ""middle"", ""labels"": [""light_name""]}, {""start"": 25, ""end"": 29, ""text"": ""main"", ""labels"": [""light_name""]}]",switch-on
20,21,put off all the lights,"[{""start"": 8, ""end"": 11, ""text"": ""all"", ""labels"": [""light_name""]}]",switch-off
21,22,get those main lights on,"[{""start"": 10, ""end"": 14, ""text"": ""main"", ""labels"": [""light_name""]}]",switch-on
22,23,please turn off the front and back lights,"[{""start"": 20, ""end"": 25, ""text"": ""front"", ""labels"": [""light_name""]}, {""start"": 30, ""end"": 34, ""text"": ""back"", ""labels"": [""light_name""]}]",switch-off
23,24,turn off the main light please,"[{""start"": 13, ""end"": 17, ""text"": ""main"", ""labels"": [""light_name""]}]",switch-off
24,1,Turn switch on the back lights,"[{""start"": 19, ""end"": 23, ""text"": ""back"", ""labels"": [""light_name""]}]",switch-on
25,2,Can you switch on the middle lights?,"[{""start"": 22, ""end"": 28, ""text"": ""middle"", ""labels"": [""light_name""]}]",switch-on
26,3,I need the all light to be switch on,"[{""start"": 11, ""end"": 14, ""text"": ""all"", ""labels"": [""light_name""]}]",switch-on
27,4,switch on the main lights,"[{""start"": 14, ""end"": 18, ""text"": ""main"", ""labels"": [""light_name""]}]",switch-on
28,5,Turn switch off the middle lights,"[{""start"": 20, ""end"": 26, ""text"": ""middle"", ""labels"": [""light_name""]}]",switch-off
29,6,Can you switch on the main lights?,"[{""start"": 22, ""end"": 26, ""text"": ""main"", ""labels"": [""light_name""]}]",switch-on
30,7,Make sure the all light is switch on,"[{""start"": 14, ""end"": 17, ""text"": ""all"", ""labels"": [""light_name""]}]",switch-on
32,9,Can you switch off the all lights?,"[{""start"": 23, ""end"": 26, ""text"": ""all"", ""labels"": [""light_name""]}]",switch-off
33,10,Turn switch on the all lights,"[{""start"": 19, ""end"": 22, ""text"": ""all"", ""labels"": [""light_name""]}]",switch-on
34,11,Turn switch on the middle lights,"[{""start"": 19, ""end"": 25, ""text"": ""middle"", ""labels"": [""light_name""]}]",switch-on
36,13,Switch switch off the front light,"[{""start"": 22, ""end"": 27, ""text"": ""front"", ""labels"": [""light_name""]}]",switch-off
